"sec_idx","security","volatility","volatility_state","symbol","last_price","mu","sigma"
1,"AA US Equity",0,0,"AA",28.25,0.357587229869273,0.330415884009646
2,"AABA US Equity",0,0,"AABA",67.86,0.43310586948969,0.351091074027234
3,"AAL US Equity",0,0,"AAL",34.97,0.24069522710558,0.188851935509342
4,"AAOI US Equity",0,0,"AAOI",15.15,0.250936401802017,0.57315058756098
5,"AAPL US Equity",0,0,"AAPL",170.5,0.0499357504496735,0.176300447978541
6,"ABBV US Equity",0,0,"ABBV",80.85,0.0810101743501667,0.134903796538274
7,"ABT US Equity",0,0,"ABT",75.25,0.07313834922089,0.0622444102865631
8,"ACB US Equity",0,0,"ACB",7.06,0.19811012323951,0.498128291617088
9,"ACN US Equity",0,0,"ACN",159.1,0.065603811099459,0.107446237236215
10,"ADBE US Equity",0,0,"ADBE",259.9,0.131058105036631,0.0689998192054698
11,"ADI US Equity",0,0,"ADI",105.25,0.00450744715461845,0.0675304819861631
12,"ADM US Equity",0,0,"ADM",41.75,0.200857823928348,0.105393350942135
13,"ADP US Equity",0,0,"ADP",148.81,0.0471450355732519,0.1005934153681
14,"ADSK US Equity",0,0,"ADSK",160.9,0.0259997072421915,0.126498160321275
15,"AEM US Equity",0,0,"AEM",43.09,0.174892750376178,0.0919225278363051
16,"AES US Equity",0,0,"AES",17.1,-0.0156868652698423,0.0857645339690295
17,"AFL US Equity",0,0,"AFL",49.28,0.0170703433488144,0.0850185066305131
18,"AG US Equity",0,0,"AG",6.2,0.174232175489775,0.120034530876845
19,"AGN US Equity",0,0,"AGN",138,0.333533463862275,0.242391999384648
20,"AIG US Equity",0,0,"AIG",42.32,0.24640596351493,0.135221842757269
21,"AJRD US Equity",0,0,"AJRD",40.05,-0.00448390965815742,0.0851805167360642
22,"AKAM US Equity",0,0,"AKAM",70.14,0.170827694041868,0.124049940304231
23,"AKS US Equity",0,0,"AKS",2.97,8.81362424657502e-05,0.225927922652095
24,"ALGN US Equity",0,0,"ALGN",255,0.0537393342980108,0.146029546389316
25,"ALL US Equity",0,0,"ALL",94.38,0.0984808193063301,0.127663579338377
26,"ALLY US Equity",0,0,"ALLY",27.01,0.17422961474822,0.0785784849144563
27,"ALXN US Equity",0,0,"ALXN",129.42,0.283824238215909,0.117148603400013
28,"AMAT US Equity",0,0,"AMAT",39.11,0.250958060032076,0.207921228993389
29,"AMD US Equity",0,0,"AMD",23.72,0.0631898122849598,0.31441585082942
30,"AMGN US Equity",0,0,"AMGN",185.85,0.11336794388443,0.1426122921625
31,"AMN US Equity",0,0,"AMN",55.2,0.153556545376817,0.244820956060571
32,"AMRN US Equity",0,0,"AMRN",17.68,0.940888823830783,0.932310378261438
33,"AMRS US Equity",0,0,"AMRS",4.95,0.691332427403325,0.887301959968612
34,"AMTD US Equity",0,0,"AMTD",56.86,0.0989661551241938,0.0520370793112595
35,"AMZN US Equity",0,0,"AMZN",1609.26,0.318187198524619,0.099588487505647
36,"ANET US Equity",0,0,"ANET",264.2,0.031016396012834,0.194659594618063
37,"APA US Equity",0,0,"APA",33.3,0.0681884439288693,0.221965203397781
38,"APC US Equity",0,0,"APC",45.85,0.492324204603149,0.204714273676741
39,"ARNC US Equity",0,0,"ARNC",17.615,0.197584037716121,0.146277697547158
40,"ARRY US Equity",0,0,"ARRY",23.2,0.15347328505716,0.23780826257982
41,"ASND US Equity",0,0,"ASND",73.44,0.171870768460394,0.0829865064426882
42,"ATVI US Equity",0,0,"ATVI",44.68,0.185585260120112,0.197897597616971
43,"AUY US Equity",0,0,"AUY",2.64,0.217449389885238,0.238093504293266
44,"AVGO US Equity",0,0,"AVGO",281.45,0.077527585248051,0.11019888095805
45,"AVP US Equity",0,0,"AVP",2.62,0.0592169912544186,0.250893827645158
46,"AXL US Equity",0,0,"AXL",16.83,0.0397623255244391,0.221770649563309
47,"AXP US Equity",0,0,"AXP",107.69,0.0789903982830311,0.113543046375055
48,"AXTA US Equity",0,0,"AXTA",26.68,0.10971091478196,0.0673406620176457
49,"AZN US Equity",0,0,"AZN",41.09,0.0430262356269993,0.145314211546006
50,"AZO US Equity",0,0,"AZO",919.75,0.00327781069280032,0.0540423115030471
51,"BA US Equity",0,0,"BA",418.34,0.0597927556608785,0.0756172530992753
52,"BABA US Equity",0,0,"BABA",166.18,0.245539377847568,0.159574994889198
53,"BAC US Equity",0,0,"BAC",29.09,0.120915036158004,0.155952768996125
54,"BAX US Equity",0,0,"BAX",73.3837,0.0722049856959715,0.05006545962823
55,"BB US Equity",0,0,"BB",8.7,0.107462900767945,0.242764264986102
56,"BBBY US Equity",0,0,"BBBY",16.85,-0.2114505053346,0.090887157188541
57,"BBD US Equity",0,0,"BBD",12.3398,-0.117688356502839,0.168866697859968
58,"BBT US Equity",0,0,"BBT",50.75,0.089840128154703,0.0827216017839722
59,"BBY US Equity",0,0,"BBY",59.4,0.147133787506133,0.159943681241769
60,"BCS US Equity",0,0,"BCS",8.17,0.292429684821177,0.967366022310855
61,"BERY US Equity",0,0,"BERY",51.55,0.197725365116117,0.121332425595914
62,"BHC US Equity",0,0,"BHC",25.5599,0.30098874433345,0.36208332302043
63,"BHP US Equity",0,0,"BHP",51.95,-0.0183201175361286,0.197109507581706
64,"BIDU US Equity",0,0,"BIDU",170.45,0.311689344323964,0.197844259041496
65,"BIIB US Equity",0,0,"BIIB",332.87,0.151545833962539,0.117179618672524
66,"BILI US Equity",0,0,"BILI",17.88,0.0214183665130945,0.0984357959397819
67,"BK US Equity",0,0,"BK",52.99,0.00662191483488932,0.0828971333485996
68,"BKNG US Equity",0,0,"BKNG",1901.75,0.160809126430081,0.103779916752514
69,"BKS US Equity",0,0,"BKS",6.33,0.288452399555141,0.440047283673896
70,"BLK US Equity",0,0,"BLK",431,0.0824024656616525,0.0709160716105692
71,"BLMN US Equity",0,0,"BLMN",21.805,0.0638315438656818,0.11330798944674
72,"BMY US Equity",0,0,"BMY",51.64,0.131743686090941,0.0856418433428495
73,"BP US Equity",0,0,"BP",42.38,0.220930662056923,0.106469272545544
74,"BSX US Equity",0,0,"BSX",40.01,0.103251515034912,0.066198492103317
75,"BTG US Equity",0,0,"BTG",3.01,0.272743634487265,0.206732882010302
76,"BUD US Equity",0,0,"BUD",77.69,0.195349382080221,0.210878739064031
77,"BX US Equity",0,0,"BX",33.45,0.248761082015218,0.106763801243567
78,"C US Equity",0,0,"C",64.22,0.132663865267616,0.179902865532507
79,"CAG US Equity",0,0,"CAG",24.5,0.351325693896252,0.215530060306934
80,"CAR US Equity",0,0,"CAR",28.8899,0.407375597711316,0.279392202816689
81,"CAT US Equity",0,0,"CAT",136.3,0.0237682082070495,0.148028322207065
82,"CBOE US Equity",0,0,"CBOE",93.54,0.142746210606463,0.0643959081449873
83,"CBS US Equity",0,0,"CBS",50.78,0.166467596699494,0.110027670770995
84,"CC US Equity",0,0,"CC",37.85,0.202742770755817,0.152503456864594
85,"CCJ US Equity",0,0,"CCJ",12.31,0.126208624941084,0.167094573128437
86,"CELG US Equity",0,0,"CELG",90.51,0.102392939190287,0.127252926766336
87,"CF US Equity",0,0,"CF",41.77,0.250682753446742,0.15243896648062
88,"CGC US Equity",0,0,"CGC",47.49,0.154871056694816,0.345231773450511
89,"CHK US Equity",0,0,"CHK",2.61,0.132384670679982,0.395724307286105
90,"CHRW US Equity",0,0,"CHRW",91.45,0.0204408468701081,0.117984248706218
91,"CHTR US Equity",0,0,"CHTR",349.06,0.129673282773206,0.238939390699578
92,"CI US Equity",0,0,"CI",197.45,0.201136462621729,0.153196500749964
93,"CIEN US Equity",0,0,"CIEN",40.5,0.0148390871800825,0.0852523837481214
94,"CIT US Equity",0,0,"CIT",50.77,0.0145314379217951,0.0888244646828046
95,"CL US Equity",0,0,"CL",66.6999,-0.0268516577617804,0.0913693303530457
96,"CLF US Equity",0,0,"CLF",11.25,0.179131204711055,0.216193574492605
97,"CLR US Equity",0,0,"CLR",47,0.187158151321988,0.234542391021029
98,"CLVS US Equity",0,0,"CLVS",25.42,-0.0053970186910013,0.409265056167758
99,"CMCSA US Equity",0,0,"CMCSA",37.6,0.180534390717416,0.0848253786748752
100,"CME US Equity",0,0,"CME",175.85,0.0889733878098883,0.137757200644532
101,"CMG US Equity",0,0,"CMG",606,-0.0455763690716426,0.114666914209758
102,"CMI US Equity",0,0,"CMI",155.47,0.0437386667233855,0.108801497956737
103,"CNQ US Equity",0,0,"CNQ",27.85,0.202138208595268,0.0980112678677246
104,"COF US Equity",0,0,"COF",81.57,0.145184114995463,0.162007446940522
105,"COG US Equity",0,0,"COG",25.23,0.143450927381105,0.0953441595357791
106,"COP US Equity",0,0,"COP",70.01,0.131226819976826,0.0693327503159944
107,"CORT US Equity",0,0,"CORT",11.79,0.302379723032212,0.692131412937898
108,"COST US Equity",0,0,"COST",216.02,0.094892058009484,0.0839259674195043
109,"COTY US Equity",0,0,"COTY",11.03,-0.0413538644154178,0.144079129723787
110,"CP US Equity",0,0,"CP",203.5,0.136413699593339,0.0776495314604116
111,"CPE US Equity",0,0,"CPE",7.85,0.498994750372879,0.423029572365031
112,"CPRI US Equity",0,0,"CPRI",44.49,0.235991336002857,0.237084151983986
113,"CRC US Equity",0,0,"CRC",21.2,0.0744920689339307,0.375761273699969
114,"CREE US Equity",0,0,"CREE",52.23,0.0200303231386141,0.192604182948382
115,"CRM US Equity",0,0,"CRM",159.28,0.0733163927633145,0.101809354300938
116,"CRON US Equity",0,0,"CRON",21.32,-0.357801211776874,0.23871078530307
117,"CRR US Equity",0,0,"CRR",4.41,0.0100647940581506,0.366312863250283
118,"CRZO US Equity",0,0,"CRZO",12.68,0.593685990255452,0.499179012646188
119,"CS US Equity",0,0,"CS",11.75,0.545647675440758,1.1953596635357
120,"CSCO US Equity",0,0,"CSCO",49.35,0.124395462206684,0.101008671631582
121,"CSIQ US Equity",0,0,"CSIQ",20.81,0.080488589684023,0.207218572846386
122,"CSX US Equity",0,0,"CSX",72.5,0.0705851338245247,0.0892245981087306
123,"CTL US Equity",0,0,"CTL",13.8,0.0774678795506717,0.247057120545287
124,"CTRP US Equity",0,0,"CTRP",33.32,0.122195964703195,0.214689310906361
125,"CTSH US Equity",0,0,"CTSH",73.85,0.133937799894885,0.105115229857247
126,"CTXS US Equity",0,0,"CTXS",105.12,0.0460697500667374,0.162949889891119
127,"CVE US Equity",0,0,"CVE",8.75,0.193230021313248,0.168038456598459
128,"CVNA US Equity",0,0,"CVNA",35.35,0.702729826218178,0.371976457667596
129,"CVS US Equity",0,0,"CVS",69.98,0.306070321332198,0.163793824340386
130,"CVX US Equity",0,0,"CVX",119,0.162405822865128,0.065830933959018
131,"CX US Equity",0,0,"CX",4.97,0.56458119950103,0.355295264533136
132,"CXO US Equity",0,0,"CXO",122.97,0.323255092703602,0.211642710426811
133,"CYBR US Equity",0,0,"CYBR",101,0.128641433949523,0.0832604947687327
134,"CYH US Equity",0,0,"CYH",3.63,0.0630288308292152,0.724361722386045
135,"CZR US Equity",0,0,"CZR",9.3,0.348160315565808,0.142658949025441
136,"DAL US Equity",0,0,"DAL",51.24,0.240119601325721,0.135612871135308
137,"DAN US Equity",0,0,"DAN",19.09,0.0574564596483163,0.175420806757965
138,"DB US Equity",0,0,"DB",8.7999,-0.0439260043995674,0.151708426033384
139,"DBD US Equity",0,0,"DBD",8.12,0.158821956883924,0.235416283136624
140,"DBX US Equity",0,0,"DBX",25.55,0.227352112618156,0.252330663356564
141,"DDD US Equity",0,0,"DDD",13.65,0.0593364578593313,0.244076162779949
142,"DE US Equity",0,0,"DE",159.4,0.0790102695850185,0.117054665073388
143,"DELL US Equity",0,0,"DELL",54.95,0.0387233123008562,0.144023910532949
144,"DFS US Equity",0,0,"DFS",71.29,0.08661082089975,0.0922519368045876
145,"DG US Equity",0,0,"DG",119,0.0076365442582921,0.0571283677726328
146,"DHI US Equity",0,0,"DHI",39.97,0.0898637426711344,0.104399538611109
147,"DIS US Equity",0,0,"DIS",112.5,0.138674680806564,0.0909607990151264
148,"DISCA US Equity",0,0,"DISCA",29.3,0.258744185920288,0.170500488178615
149,"DISH US Equity",0,0,"DISH",30.91,0.312761990482787,0.963013615027863
150,"DKS US Equity",0,0,"DKS",37.39,0.057526948005354,0.105911364149862
151,"DLTR US Equity",0,0,"DLTR",98.55,0.0332529378714104,0.0885231453896192
152,"DNR US Equity",0,0,"DNR",2.15,0.300305456588349,0.469539485665813
153,"DUK US Equity",0,0,"DUK",87.45,0.0266514311959278,0.0522454098675509
154,"DVN US Equity",0,0,"DVN",28.7,0.322508912122861,0.263375644022293
155,"DWDP US Equity",0,0,"DWDP",54.2,0.195170847389357,0.15404084503918
156,"DY US Equity",0,0,"DY",63.12,0.345772570159581,0.264908870136396
157,"EA US Equity",0,0,"EA",106.84,-0.0931941520065131,0.138527981916506
158,"EBAY US Equity",0,0,"EBAY",36.58,0.00201777302943846,0.129491992182314
159,"ECA US Equity",0,0,"ECA",6.98,0.416013643946573,0.241540678678835
160,"EIX US Equity",0,0,"EIX",60.5,0.0951089619462816,0.112119982555646
161,"ELAN US Equity",0,0,"ELAN",29.6,0.185725862143249,0.0963648430760893
162,"ELLI US Equity",0,0,"ELLI",98.88,-0.0275954416135342,0.0820160483757723
163,"EMR US Equity",0,0,"EMR",68.31,0.0768859773562792,0.0867641285169128
164,"ENB US Equity",0,0,"ENB",35.82,0.200898686310077,0.0816071192104991
165,"EOG US Equity",0,0,"EOG",100.7,0.16494916942747,0.143187205760745
166,"EPD US Equity",0,0,"EPD",28.3,0.190105235734066,0.065822085353477
167,"ESV US Equity",0,0,"ESV",4.77,0.34242456783332,0.477232765577125
168,"ET US Equity",0,0,"ET",15,0.403620003436008,0.116693260768622
169,"ETH US Equity",0,0,"ETH",19.76,0.00864487114588746,0.218429557749214
170,"ETN US Equity",0,0,"ETN",78.73,0.0953404309626436,0.0802408485552704
171,"EXAS US Equity",0,0,"EXAS",87.8137,0.0579566824933289,0.103709530125831
172,"EXC US Equity",0,0,"EXC",48.055,0.0431566947366629,0.0383923723921291
173,"EXEL US Equity",0,0,"EXEL",22.07,0.271276569478238,0.28369486346909
174,"EXP US Equity",0,0,"EXP",76.15,0.115022330594207,0.155379566991073
175,"EXPE US Equity",0,0,"EXPE",127.09,0.2453916900891,0.105119836354448
176,"F US Equity",0,0,"F",8.52,0.0437718266627732,0.217397095846044
177,"FANG US Equity",0,0,"FANG",105.69,0.37671520841734,0.22443053060256
178,"FB US Equity",0,0,"FB",162.47,0.174734130214232,0.17036527538666
179,"FCAU US Equity",0,0,"FCAU",14.75,0.112621234003669,0.296395177034762
180,"FCX US Equity",0,0,"FCX",12.3,0.117248173137747,0.134731215755421
181,"FDC US Equity",0,0,"FDC",25.75,0.0657671214021051,0.125519456580277
182,"FDX US Equity",0,0,"FDX",179.5,0.193448978215055,0.261208855659785
183,"FEYE US Equity",0,0,"FEYE",17.26,0.211375217618188,0.146364446847852
184,"FGEN US Equity",0,0,"FGEN",58.5,0.257474067621938,0.207318704940673
185,"FIT US Equity",0,0,"FIT",6.45,0.228680745104508,0.270924407745758
186,"FLR US Equity",0,0,"FLR",36.31,0.264675053662713,0.191754049411377
187,"FNV US Equity",0,0,"FNV",76.4,0.109480667556369,0.0923863991205607
188,"FOSL US Equity",0,0,"FOSL",14.83,-0.137602426304306,0.543799626242364
189,"FOXA US Equity",0,0,"FOXA",50.43,0.000533256218984745,0.0352286898920943
190,"FSLR US Equity",0,0,"FSLR",49.02,0.196068655137567,0.187674813545027
191,"FTR US Equity",0,0,"FTR",2.67,0.401065732868604,1.15509179837977
192,"GDDY US Equity",0,0,"GDDY",72.86,0.159393491372647,0.0578253434041278
193,"GE US Equity",0,0,"GE",10.1,0.0429463793116721,0.379181489442875
194,"GG US Equity",0,0,"GG",10.7,0.19131896624748,0.263983148935172
195,"GILD US Equity",0,0,"GILD",67.6,0.188195087220069,0.101902050774428
196,"GIS US Equity",0,0,"GIS",44.5,0.00837620330008552,0.118737868766153
197,"GLNG US Equity",0,0,"GLNG",22.57,0.548876248561835,0.260303765797825
198,"GLW US Equity",0,0,"GLW",34.51,0.0679380477167366,0.12441052904799
199,"GM US Equity",0,0,"GM",39,0.11987310593338,0.170744679885392
200,"GME US Equity",0,0,"GME",11.49,-0.00813904226382136,0.190516881256154
201,"GNW US Equity",0,0,"GNW",4.55,0.110018319674187,0.551452592903079
202,"GOGO US Equity",0,0,"GOGO",3.76,-0.202618959624195,0.619579577885406
203,"GOLD US Equity",0,0,"GOLD",12.92,0.133038148331694,0.159538670620859
204,"GOOG US Equity",0,0,"GOOG",1113.7,0.172181235675612,0.0994925989876248
205,"GOOGL US Equity",0,0,"GOOGL",1121.39,0.171286774578719,0.109179008231431
