"sec_idx","security","volatility","volatility_state","symbol","last_price","mu","sigma","iv","strike","option_price","option","position"
1,"AA US Equity",0.023829525,0,"AA",28.25,0.357587229869273,0.330415884009646,0.42958,30,4.4,"AA Jan 17 2020 30 Call",1
3,"AAL US Equity",0.015531067,0,"AAL",34.97,0.24069522710558,0.188851935509342,0.36023,36,3.2,"AAL Aug 16 2019 36 Call",1
4,"AAOI US Equity",NA,0,"AAOI",15.15,0.250936401802017,0.57315058756098,0.69299,17.5,4.13,"AAOI Sep 20 2019 17.5 Call",1
8,"ACB US Equity",0.06359164,0,"ACB",7.06,0.19811012323951,0.498128291617088,0.67684,8,1.12,"ACB Sep 20 2019 8 Call",1
12,"ADM US Equity",0.012725919,0,"ADM",41.75,0.200857823928348,0.105393350942135,0.21054,42,2.61,"ADM Sep 20 2019 42 Call",1
15,"AEM US Equity",0.02786018,0,"AEM",43.09,0.174892750376178,0.0919225278363051,0.28502,44,3.24,"AEM Aug 16 2019 44 Call",1
16,"AES US Equity",0.021130286,0,"AES",17.1,0.0156868652698423,0.0857645339690295,0.25274,17,1.12,"AES Aug 16 2019 17 Call",-1
17,"AFL US Equity",0.0120220855,0,"AFL",49.28,0.0170703433488144,0.0850185066305131,0.15699,50,1.87,"AFL Aug 16 2019 50 Call",1
18,"AG US Equity",0.06029948,0,"AG",6.2,0.174232175489775,0.120034530876845,0.51965,7,0.95,"AG Dec 20 2019 7 Call",1
20,"AIG US Equity",0.012939483,0,"AIG",42.32,0.24640596351493,0.135221842757269,0.2514,43,2.3,"AIG Aug 16 2019 43 Call",1
21,"AJRD US Equity",0.033723596,0,"AJRD",40.05,0.00448390965815742,0.0851805167360642,0.40894,45,2.96,"AJRD Aug 16 2019 45 Call",-1
23,"AKS US Equity",0.11425604,0,"AKS",2.97,8.81362424657502e-05,0.225927922652095,0.59373,3,0.56,"AKS Sep 20 2019 3 Call",1
26,"ALLY US Equity",0.012918933,0,"ALLY",27.01,0.17422961474822,0.0785784849144563,0.26457,28,1.7,"ALLY Sep 20 2019 28 Call",1
28,"AMAT US Equity",0.018102992,0,"AMAT",39.11,0.250958060032076,0.207921228993389,0.33389,40,4.6,"AMAT Jan 17 2020 40 Call",1
29,"AMD US Equity",0.01600336,0,"AMD",23.72,0.0631898122849598,0.31441585082942,0.56282,25,4.75,"AMD Jan 17 2020 25 Call",1
32,"AMRN US Equity",0.030644398,0,"AMRN",17.68,0.940888823830783,0.932310378261438,0.6684,18,3.65,"AMRN Sep 20 2019 18 Call",1
33,"AMRS US Equity",0.086315036,0,"AMRS",4.95,0.691332427403325,0.887301959968612,0.81475,5,1.35,"AMRS Sep 20 2019 5 Call",1
37,"APA US Equity",0.016153272,0,"APA",33.3,0.0681884439288693,0.221965203397781,0.3804,35,3.75,"APA Jan 17 2020 35 Call",1
38,"APC US Equity",0.013431378,0,"APC",45.85,0.492324204603149,0.204714273676741,0.33211,47.5,2.98,"APC Aug 16 2019 47.5 Call",1
39,"ARNC US Equity",0.020479104,0,"ARNC",17.615,0.197584037716121,0.146277697547158,0.32896,18,2.11,"ARNC Jan 17 2020 18 Call",1
40,"ARRY US Equity",NA,0,"ARRY",23.2,0.15347328505716,0.23780826257982,0.65588,24,4.2,"ARRY Sep 20 2019 24 Call",1
42,"ATVI US Equity",0.02144803,0,"ATVI",44.68,0.185585260120112,0.197897597616971,0.37451,45,4.56,"ATVI Aug 16 2019 45 Call",1
43,"AUY US Equity",NA,0,"AUY",2.64,0.217449389885238,0.238093504293266,0.43973,3,0.33,"AUY Jan 17 2020 3 Call",1
45,"AVP US Equity",0.14273235,0,"AVP",2.62,0.0592169912544186,0.250893827645158,0.67147,3,0.55,"AVP Jan 17 2020 3 Call",1
46,"AXL US Equity",NA,0,"AXL",16.83,0.0397623255244391,0.221770649563309,0.39455,17,2.4,"AXL Jan 17 2020 17 Call",1
48,"AXTA US Equity",0.018135492,0,"AXTA",26.68,0.10971091478196,0.0673406620176457,0.29757,28,2.48,"AXTA Jan 17 2020 28 Call",1
49,"AZN US Equity",0.011372135,0,"AZN",41.09,0.0430262356269993,0.145314211546006,0.17848,42.5,2,"AZN Jan 17 2020 42.5 Call",1
53,"BAC US Equity",0.011987403,0,"BAC",29.09,0.120915036158004,0.155952768996125,0.2242,30,1.46,"BAC Aug 16 2019 30 Call",1
55,"BB US Equity",0.044810805,0,"BB",8.7,0.107462900767945,0.242764264986102,0.36547,10,0.56,"BB Sep 20 2019 10 Call",1
56,"BBBY US Equity",0.023250869,0,"BBBY",16.85,0.2114505053346,0.090887157188541,0.54102,17.5,2.22,"BBBY Aug 16 2019 17.5 Call",-1
57,"BBD US Equity",0.019723784,0,"BBD",12.3398,0.117688356502839,0.168866697859968,0.35413,13,1.05,"BBD Sep 20 2019 13 Call",-1
60,"BCS US Equity",0.04645818,0,"BCS",8.17,0.292429684821177,0.967366022310855,0.33958,9,0.52,"BCS Sep 20 2019 9 Call",1
62,"BHC US Equity",0.020966459,0,"BHC",25.5599,0.30098874433345,0.36208332302043,0.43282,30,2.95,"BHC Jan 17 2020 30 Call",1
