"symbol","mu","sigma","entropy","position"
"MS US Equity",0.271593850705267,0.0179798308791816,0.407194133538531,1
"MA US Equity",0.076093223551083,0.00582379667809017,0.686621830346859,1
"ELAN US Equity",0.198331437239287,0.00682723282870052,0.415581266619674,1
"C US Equity",0.227062390298388,0.0233819624683941,0.508636108022306,1
"CTL US Equity",0.360252004581901,0.100367761649513,0.0134635328131223,1
"T US Equity",0.176478810242648,0.0282685079603076,0.222276124491653,1
"CVX US Equity",0.151045939294504,0.00671837336950886,0.491175370901156,1
"XLNX US Equity",0.133402553453315,0.0185351776638592,0.174825002037315,-1
"TWLO US Equity",0.07720627210609,0.0235717383881025,0.704214597220667,-1
"TPX US Equity",0.0781118694787759,0.0490953804672503,0.275346970224373,1
"FB US Equity",0.170072077388354,0.0217019194115462,0.455863857415729,1
"V US Equity",0.124022818508346,0.0125932295754677,0.733684473816019,1
"SNAP US Equity",0.0306818181818183,0.0696991219008264,0.209389848828719,-1
"FCAU US Equity",0.216661100803958,0.111232435112514,0.225439652243578,1
"AMRN US Equity",1.19074598677998,0.38627493466229,1.09861228866811,1
"GOOGL US Equity",0.16357714378534,0.0126760834253703,0.842394299313962,1
"EBAY US Equity",0.0261931758630219,0.017436937992627,0.313743833079852,1
"VALE US Equity",0.158052039381153,0.059896847273278,0.0971574015107413,1
"LLY US Equity",0.00292388484391995,0.0143847237245774,0.270012395584473,-1
"CLF US Equity",0.0485575549842902,0.0814099631712521,0.201176348387121,1
"ACB US Equity",0.222347081091851,0.19694102861011,0.230587673161997,1
"QCOM US Equity",0.259365534831819,0.0295301763598779,0.405465108108164,1
"NVAX US Equity",1.05479452054795,1.70277239145695,0.569184624272407,1
"JPM US Equity",0.136039886039886,0.00963321463218868,0.293374210600344,1
"GM US Equity",0.155687932359723,0.0293451285091106,0.360491804564775,1
"WYNN US Equity",0.0819118247961505,0.018109661472628,0.405465108108164,1
"PCG US Equity",0.0304601425793908,0.167727282718616,0.495802661188877,1
"NFLX US Equity",0.0455539504835279,0.0841754874296424,0.29252126109619,1
"CGC US Equity",0.137331411745189,0.1907230395787,0.533679897225978,1
"TLRY US Equity",0.72833816170661,0.515515289170509,0.405465108108164,1
"MU US Equity",0.222997299729973,0.14970865898471,0.330086124246712,1
"HD US Equity",0.0892460277971273,0.00737045370025527,0.485227481055396,1
"XOM US Equity",0.0981432360742705,0.0181377110712248,0.0577949169650425,1
"MRK US Equity",0.0501978917669188,0.00939695520917823,0.394176671862843,1
"CELG US Equity",0.143634934889987,0.0172206372822903,0.405465108108164,1
"IBM US Equity",0.05059414430969,0.0121131463417177,0.180773639591749,1
"CHK US Equity",0.244813278008299,0.229564458830484,0.103322898590264,1
"BK US Equity",0.00953349735049199,0.0100369985337498,0.190621730066244,1
"SBUX US Equity",0.00931899641577061,0.00632914102679393,0.291517355345196,-1
"IMMU US Equity",0.679913294797688,0.147298010052362,0.536277144049301,1
"SQ US Equity",0.0433478855227763,0.0651741866044445,0.135505897718124,1
"CVNA US Equity",0.587584307020043,0.205194132134514,0.244840657478343,1
"AMD US Equity",0.0465443846250156,0.110708835013322,0.0719404467470539,1
"X US Equity",0.0819189578505669,0.0460985391008891,0.352579623953325,1
"CSCO US Equity",0.0599290039674253,0.0110197781472451,0.278387641754201,1
"TEVA US Equity",0.144782180654689,0.0669832267827738,0.254499862213652,1
"MT US Equity",0.45852324521422,0.40717661244016,0.598209865129922,1
"COTY US Equity",0.0290849904465359,0.0321269908149726,0.437049050510127,-1
"CRON US Equity",0.358518683274021,0.0744026168946267,0.198356237399573,-1
"NLSN US Equity",0.094458102544356,0.0166709785002507,0.270012395584473,1
"ROKU US Equity",0.159994581047213,0.101544048538134,0.500081102690914,1
"GRPN US Equity",0.100780532598714,0.0647516255298624,0.294623501278745,1
