NVDA US Equity,"Morningstar, Inc",ABHINAV DAVULURI,1st,57.939994,sell,2/15/2019
,ISS-EVA,ANTHONY CAMPAGNA,2nd,39.72314,hold,2/8/2019
,PERM DENIED,PERM DENIED,3rd,19.55927,buy,1/29/2019
,MKM Partners,RUBEN ROY,4th,0,neutral,2/15/2019
,Macquarie,SRINI PAJJURI,4th,0,neutral,2/15/2019
,BMO Capital Markets,AMBRISH SRIVASTAVA,4th,0,market perform,2/15/2019
,PERM DENIED,PERM DENIED,4th,0,hold,2/15/2019
,Stifel,KEVIN CASSIDY,4th,0,hold,2/14/2019
,Exane BNP Paribas,DAVID O'CONNOR,5th,-5.647958,underperform,2/11/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BAC US Equity,Edward Jones,JIM SHANAHAN,1st,14.11211,buy,2/13/2019
,PERM DENIED,PERM DENIED,2nd,13.004661,buy,1/17/2019
,RBC Capital Markets,GERARD CASSIDY,3rd,0.074381,outperform,2/7/2019
,Baird,DAVID GEORGE,4th,0,neutral,2/15/2019
,PERM DENIED,PERM DENIED,4th,0,neutral,2/12/2019
,Societe Generale,ANDREW LIM,4th,0,hold,2/11/2019
,PERM DENIED,PERM DENIED,4th,0,hold,1/25/2019
,Independent Research GmbH,Markus Riesselmann,4th,0,hold,1/17/2019
,BMO Capital Markets,JAMES FOTHERINGHAM,4th,0,market perform,1/16/2019
,Barclays,JASON GOLDBERG,4th,0,equalweight,1/16/2019
,Berenberg,PETER RICHARDSON,4th,0,hold,7/30/2018
,Raymond James,MICHAEL ROSE,5th,-7.939552,outperform,2/7/2019
,Evercore ISI,GLENN SCHORR,5th,-7.939552,outperform,2/7/2019
,Wells Fargo Securities,MICHAEL MAYO,5th,-7.939552,outperform,2/7/2019
,PERM DENIED,PERM DENIED,5th,-7.939552,outperform,2/4/2019
,J.P. Morgan,VIVEK JUNEJA,5th,-7.939552,overweight,1/31/2019
,Vining Sparks,MARTY MOSBY,5th,-7.939552,market outperform,1/30/2019
,"Sandler O'Neill & Partners, LP",JEFFERY HARTE,5th,-7.939552,buy,1/28/2019
,Oppenheimer & Co,CHRISTOPHER KOTOWSKI,5th,-7.939552,outperform,1/24/2019
,Goldman Sachs,RICHARD RAMSDEN,5th,-7.939552,buy/attractive,1/22/2019
,Atlantic Equities LLP,JOHN HEAGERTY,5th,-7.939552,overweight,1/22/2019
,Jefferies,KENNETH USDIN,5th,-7.939552,buy,1/18/2019
,DZ Bank AG,CHRISTIAN KOCH,5th,-7.939552,buy,1/17/2019
,Morgan Stanley,BETSY GRASECK,5th,-7.939552,Overwt/Attractive,1/17/2019
,Buckingham Research Group,JAMES MITCHELL,5th,-7.939552,buy,1/16/2019
,Argus Research Corp,STEPHEN BIGGAR,5th,-7.939552,buy,1/16/2019
,Credit Suisse,SUSAN ROTH KATZKE,5th,-7.939552,outperform,1/16/2019
,Renaissance Macro Research LLC,HOWARD MASON,5th,-7.939552,overweight,10/28/2018
,"Ameriprise Advisor Services, I",LORI WILKING-PRZEKOP,5th,-7.939552,buy,4/19/2018
,Punto Casa de Bolsa,MARTIN LARA,5th,-7.939552,buy,2/9/2016
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
AAPL US Equity,New Street Research,PIERRE FERRAGU,1st,30.95628,neutral,1/31/2019
,ISS-EVA,ANTHONY CAMPAGNA,2nd,25.310475,overweight,12/25/2018
,Rosenblatt Securities,JUN ZHANG,3rd,20.82535,neutral,2/13/2019
,PERM DENIED,PERM DENIED,3rd,20.82535,neutral,2/12/2019
,Maxim Group LLC,NEHAL CHOKSHI,4th,8.807319,hold,1/30/2019
,D.A. Davidson & Co,TOM FORTE,5th,4.695988,buy,2/1/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
AMD US Equity,Northland Securities Inc,AUGUSTE RICHARD,1st,196.520913,outperform,2/11/2019
,Baird,TRISTAN GERRA,2nd,157.752299,neutral,2/12/2019
,Stifel,KEVIN CASSIDY,3rd,142.374599,buy,2/5/2019
,Rosenblatt Securities,HANS MOSESMANN,4th,94.257587,buy,2/13/2019
,Exane BNP Paribas,JEROME RAMEL,4th,94.257587,outperform,2/11/2019
,Mizuho Securities USA Inc,VIJAY RAKESH,4th,94.257587,buy,2/10/2019
,Argus Research Corp,JAMES KELLEHER,4th,94.257587,buy,1/31/2019
,Jefferies,MARK LIPACIS,4th,94.257587,buy,1/30/2019
,Craig-Hallum Capital Group LLC,CHRISTIAN SCHWAB,4th,94.257587,buy,1/30/2019
,PERM DENIED,PERM DENIED,4th,94.257587,buy,1/29/2019
,Phillip Securities,KANG-WEI HO,4th,94.257587,buy,5/17/2017
,Cowen,MATTHEW RAMSAY,5th,84.711391,outperform,2/7/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FB US Equity,"Morningstar, Inc",ALI MOGHARABI,1st,22.26963,hold,2/4/2019
,Societe Generale,SIMON BAKER,2nd,9.702156,sell,1/25/2019
,BMO Capital Markets,DANIEL SALMON,3rd,0,market perform,2/15/2019
,Edward Jones,JOSH OLSON,4th,-2.056012,hold,2/13/2019
,PERM DENIED,PERM DENIED,4th,-2.056012,neutral,1/31/2019
,"Monness, Crespi, Hardt & Co",BRIAN WHITE,5th,-2.296777,buy,2/11/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MU US Equity,Morgan Stanley,JOSEPH MOORE,1st,32.3908,Equalwt/Cautious,2/11/2019
,PERM DENIED,PERM DENIED,2nd,24.620689,neutral,12/19/2018
,BMO Capital Markets,AMBRISH SRIVASTAVA,3rd,23.50001,outperform,2/13/2019
,PERM DENIED,PERM DENIED,4th,18.48195,outperform,1/31/2019
